    Time (min)     P1 (mbar)     P2 (mbar)     Temp. (C)
       0.0315         25.97         22.07         24.99
       0.1138         31.98         21.06         24.98
       0.1974         16.94         25.07         24.97
       0.2810         30.98         15.05         24.96
       0.3646         22.96         17.06         24.98
       0.4482         27.97         20.06         24.99
       0.5315         21.95         26.07         25.01
       0.6148         20.95         19.06         24.96
       0.6982         31.98         19.06         25.00
       0.7815         19.95         23.07         25.03
       0.8638         19.95         29.08         24.96
       0.9474         30.98         27.08         24.95
       1.0312         31.98         17.06         24.94
       1.1148         15.94         29.08         24.92
       1.1971         25.97         14.05         24.96
       1.2810         26.97         30.08         24.95
       1.3646         26.97         27.08         24.96
       1.4482         27.97         29.08         24.96
       1.5305         23.96         27.08         24.98
       1.6141         26.97         22.07         24.98
       1.6982         36.00         30.08         25.01
       1.7815         31.98         28.08         24.96
       1.8641         31.98         19.06         24.98
       1.9476         25.97         29.08         24.93
       2.0312         20.95         31.08         24.95
       2.1148         30.98         30.08         24.98
       2.1979         30.98         33.09         24.97
       2.2807         28.98         28.08         25.03
       2.3646         24.96         16.05         25.01
       2.4479         23.96         30.08         24.99
       2.5312         25.97         19.06         25.01
       2.6148         30.98         32.09         25.01
       2.6976         27.97         27.08         24.96
       2.7812         25.97         23.07         24.91
       2.8638         19.95         34.09         24.89
       2.9474         25.97         29.08         24.89
       3.0312         24.96         30.08         24.85
       3.1138         30.98         26.07         24.87
       3.1974         29.98         28.08         24.91
       3.2810         28.98         27.08         24.89
       3.3646         28.98         28.08         24.87
       3.4482         27.97         23.07         24.91
       3.5305         31.98         30.08         24.95
       3.6141         30.98         29.08         24.92
       3.6976         30.98         23.07         24.90
       3.7812         31.98         25.07         24.96
       3.8638         34.99         32.09         24.97
       3.9474         26.97         30.08         24.91
       4.0310         25.97         26.07         24.95
       4.1146         30.98         34.09         24.96
       4.1982         27.97         27.08         24.98
       4.2805         31.98         36.09         24.98
       4.3641         29.98         27.08         25.01
       4.4476         41.01         29.08         25.03
       4.5305         31.98         28.08         24.95
       4.6141         37.00         29.08         24.91
       4.6976         31.98         29.08         24.97
       4.7812         40.01         28.08         24.93
       4.8648         34.99         28.08         24.94
       4.9471         38.00         23.07         24.98
       5.0310         31.98         27.08         24.97
       5.1146         30.98         33.09         24.96
       5.1982         34.99         28.08         24.97
       5.2805         30.98         28.08         24.97
       5.3641         23.96         34.09         24.97
       5.4482         31.98         30.08         25.00
       5.5310         27.97         23.07         24.99
       5.6146         34.99         32.09         24.96
       5.6982         43.02         22.07         24.93
       5.7807         25.97         25.07         24.98
       5.8641         28.98         33.09         25.01
       5.9482         31.98         31.08         24.97
       6.0305         36.00         36.09         24.95
       6.1141         31.98         25.07         24.94
       6.1976         30.98         24.07         24.95
       6.2812         31.98         27.08         24.96
       6.3648         39.01         38.10         24.96
       6.4471         42.01         34.09         24.97
       6.5307         38.00         34.09         24.95
       6.6143         38.00         32.09         24.96
       6.6979         41.01         34.09         24.97
       6.7815         26.97         28.08         24.94
       6.8638         31.98         30.08         24.96
       6.9474         30.98         25.07         24.97
       7.0310         40.01         33.09         24.97
       7.1143         49.04         33.09         25.06
       7.1979         39.01         29.08         25.04
       7.2812         31.98         33.09         24.98
       7.3648         30.98         34.09         24.96
       7.4476         30.98         23.07         24.95
       7.5312         30.98         34.09         24.96
       7.6148         45.02         38.10         24.91
       7.6971         37.00         19.06         24.99
       7.7810         48.03         33.09         24.97
       7.8646         32.99         29.08         24.95
       7.9482         30.98         43.11         24.95
       8.0305         42.01         39.10         24.95
       8.1141         33.99         33.09         24.96
       8.1976         34.99         41.10         24.97
       8.2812         37.00         34.09         24.95
       8.3641         41.01         34.09         25.01
       8.4474         34.99         40.10         24.97
       8.5312         39.01         32.09         24.98
       8.6146         39.01         44.11         25.05
       8.6974         41.01         34.09         24.99
       8.7810         51.04         41.10         24.96
       8.8648         31.98         38.10         24.94
       8.9471         30.98         35.09         24.94
       9.0307         31.98         36.09         24.96
       9.1143         30.98         48.12         24.97
       9.1979         49.04         44.11         24.97
       9.2818         40.01         41.10         24.97
       9.3641         39.01         40.10         24.92
       9.4476         30.98         42.11         24.94
       9.5312         39.01         29.08         24.97
       9.6138         38.00         23.07         24.97
       9.6974         38.00         40.10         24.97
       9.7810         38.00         27.08         25.01
       9.8646         41.01         40.10         25.00
       9.9479         46.03         42.11         24.96
